rank,ticker,beta,avg_ret_pct,n_blocks,quadrant,regime
1,GDX,0.4,22.5,10,RC,침체·디스인플레(실질↓BEI↓)
2,SIL,0.37,19.6,10,RC,침체·디스인플레(실질↓BEI↓)
3,BLOK,0.35,19.9,8,RC,침체·디스인플레(실질↓BEI↓)
4,SLV,0.27,14.7,10,RC,침체·디스인플레(실질↓BEI↓)
5,FNGS,0.24,13.2,7,RC,침체·디스인플레(실질↓BEI↓)
6,BETZ,0.23,13.1,7,RC,침체·디스인플레(실질↓BEI↓)
7,COPX,0.22,9.3,10,RC,침체·디스인플레(실질↓BEI↓)
8,TAN,0.22,15.1,10,RC,침체·디스인플레(실질↓BEI↓)
9,QTUM,0.2,11.8,8,RC,침체·디스인플레(실질↓BEI↓)
10,GLD,0.2,10.9,10,RC,침체·디스인플레(실질↓BEI↓)
11,ARTY,0.2,11.6,8,RC,침체·디스인플레(실질↓BEI↓)
12,SOXX,0.19,11.9,10,RC,침체·디스인플레(실질↓BEI↓)
13,PBW,0.19,10.8,10,RC,침체·디스인플레(실질↓BEI↓)
14,XLC,0.19,10.5,8,RC,침체·디스인플레(실질↓BEI↓)
15,SRVR,0.18,13.2,8,RC,침체·디스인플레(실질↓BEI↓)
16,ITB,0.18,13.3,10,RC,침체·디스인플레(실질↓BEI↓)
17,XME,0.18,8.6,10,RC,침체·디스인플레(실질↓BEI↓)
18,NLR,0.17,7.5,10,RC,침체·디스인플레(실질↓BEI↓)
19,GRID,0.17,10.0,10,RC,침체·디스인플레(실질↓BEI↓)
20,XLK,0.16,9.6,10,RC,침체·디스인플레(실질↓BEI↓)
21,ROBO,0.16,8.3,10,RC,침체·디스인플레(실질↓BEI↓)
22,XLRE,0.16,10.4,10,RC,침체·디스인플레(실질↓BEI↓)
23,RNRG,0.15,9.3,10,RC,침체·디스인플레(실질↓BEI↓)
24,REZ,0.15,9.8,10,RC,침체·디스인플레(실질↓BEI↓)
25,IGV,0.15,9.3,10,RC,침체·디스인플레(실질↓BEI↓)
26,XHB,0.15,10.7,10,RC,침체·디스인플레(실질↓BEI↓)
27,FINX,0.15,9.3,10,RC,침체·디스인플레(실질↓BEI↓)
28,ITA,0.15,9.1,10,RC,침체·디스인플레(실질↓BEI↓)
29,QQQ,0.14,8.3,10,RC,침체·디스인플레(실질↓BEI↓)
30,FDN,0.14,7.7,10,RC,침체·디스인플레(실질↓BEI↓)
31,DRIV,0.14,6.9,8,RC,침체·디스인플레(실질↓BEI↓)
32,IYZ,0.14,7.4,10,RC,침체·디스인플레(실질↓BEI↓)
33,SKYY,0.14,8.4,10,RC,침체·디스인플레(실질↓BEI↓)
34,XBI,0.14,8.6,10,RC,침체·디스인플레(실질↓BEI↓)
35,XLU,0.13,7.7,10,RC,침체·디스인플레(실질↓BEI↓)
36,PEJ,0.12,6.7,10,RC,침체·디스인플레(실질↓BEI↓)
37,XLY,0.11,6.8,10,RC,침체·디스인플레(실질↓BEI↓)
38,SPY,0.1,6.4,10,RC,침체·디스인플레(실질↓BEI↓)
39,IHI,0.1,7.0,10,RC,침체·디스인플레(실질↓BEI↓)
40,FIW,0.1,6.8,10,RC,침체·디스인플레(실질↓BEI↓)
41,BITO,0.09,4.6,7,RC,침체·디스인플레(실질↓BEI↓)
42,CIBR,0.09,6.3,10,RC,침체·디스인플레(실질↓BEI↓)
43,JETS,0.09,5.4,10,RC,침체·디스인플레(실질↓BEI↓)
44,IWM,0.09,5.6,10,RC,침체·디스인플레(실질↓BEI↓)
45,XLB,0.09,5.3,10,RC,침체·디스인플레(실질↓BEI↓)
46,XRT,0.09,4.6,10,RC,침체·디스인플레(실질↓BEI↓)
47,DIA,0.08,5.1,10,RC,침체·디스인플레(실질↓BEI↓)
48,IHE,0.08,4.3,10,RC,침체·디스인플레(실질↓BEI↓)
49,XLI,0.08,5.5,10,RC,침체·디스인플레(실질↓BEI↓)
50,XLP,0.07,4.5,10,RC,침체·디스인플레(실질↓BEI↓)
51,IJH,0.07,4.4,10,RC,침체·디스인플레(실질↓BEI↓)
52,IJR,0.07,4.7,10,RC,침체·디스인플레(실질↓BEI↓)
53,XLV,0.06,3.4,10,RC,침체·디스인플레(실질↓BEI↓)
54,IYT,0.06,4.1,10,RC,침체·디스인플레(실질↓BEI↓)
55,XLF,0.05,3.9,10,RC,침체·디스인플레(실질↓BEI↓)
56,PBJ,0.05,3.2,10,RC,침체·디스인플레(실질↓BEI↓)
57,USO,0.05,-0.2,10,RC,침체·디스인플레(실질↓BEI↓)
58,KIE,0.04,3.5,10,RC,침체·디스인플레(실질↓BEI↓)
59,KBE,0.03,3.9,10,RC,침체·디스인플레(실질↓BEI↓)
60,KRE,0.01,2.9,10,RC,침체·디스인플레(실질↓BEI↓)
61,XLE,0.01,-1.2,10,RC,침체·디스인플레(실질↓BEI↓)
62,FCG,-0.05,-5.7,10,RC,침체·디스인플레(실질↓BEI↓)
63,OIH,-0.05,-5.3,10,RC,침체·디스인플레(실질↓BEI↓)
64,UNG,-0.14,-10.0,10,RC,침체·디스인플레(실질↓BEI↓)
