bi,enddate,ls_base,ls_excl_2wLow,ls_excl_2wHigh
1,2016-12-16,18.884,9.761,18.088
2,2017-01-17,4.700,1.143,6.428
3,2017-03-13,3.923,1.798,5.756
4,2017-04-13,3.000,1.290,5.981
5,2017-07-10,3.698,-0.060,6.547
6,2017-09-07,8.157,9.426,5.872
7,2017-10-26,8.500,8.114,7.320
8,2018-02-21,8.131,5.459,8.745
9,2018-05-17,5.956,8.805,-0.296
10,2018-07-03,2.227,2.596,3.911
11,2018-08-01,2.704,3.527,2.360
12,2018-11-08,1.232,-1.127,3.356
13,2019-08-27,24.042,11.348,30.797
14,2019-10-29,4.622,4.156,2.099
15,2020-08-06,41.148,46.860,40.695
16,2020-11-09,2.232,3.589,1.763
17,2021-01-04,10.792,9.655,13.260
18,2021-03-19,18.125,24.607,7.129
19,2021-08-03,-6.987,-7.953,-2.066
20,2021-09-28,6.787,1.811,9.442
21,2021-11-09,8.035,1.906,10.826
22,2022-02-07,2.656,5.857,-0.996
23,2022-03-07,-3.297,-6.408,-2.318
24,2022-06-14,-1.430,-5.723,8.809
25,2022-08-01,2.386,-0.832,6.587
26,2022-10-20,4.201,7.463,1.577
27,2022-12-02,-2.280,-3.208,-0.751
28,2022-12-27,0.817,1.584,-0.346
29,2023-01-19,0.141,-1.826,-0.423
30,2023-02-24,5.153,1.109,7.406
31,2023-04-06,9.978,11.354,8.346
32,2023-10-19,8.730,14.748,4.165
33,2023-12-27,5.002,2.570,5.743
34,2024-04-25,1.369,1.918,-2.145
35,2024-09-16,9.217,7.883,7.948
36,2025-01-07,10.024,14.194,3.902
37,2025-03-03,-2.402,-0.319,-3.684
38,2025-04-11,-2.693,-3.227,-1.447
39,2025-09-16,28.131,30.932,24.045
40,2025-12-22,-3.154,-6.691,5.160
41,2026-03-27,5.269,0.999,4.378
42,2026-04-14,9.005,1.127,9.221
43,2026-07-13,0.783,2.642,-3.357
